KMST2006CST|2021-12-02|  D   |  100.0  |     300.0     |      400.0       
KMST2006CST|2021-12-03|  W   |   10.0  |     400.0     |      390.0       
KMST2007CST|2021-12-03|  D   |   10.0  |     601.9     |      611.9       
KMST2006CST|2021-12-03|  D   |  100.0  |     390.0     |      490.0       
KMST2006CST|2021-12-04|  W   |   98.0  |     490.0     |      392.0       
KMST2006CST|2021-12-05|  W   |   90.0  |     392.0     |      302.0       
KMST2006CST|2021-12-06|  D   |   10.0  |     302.0     |      312.0       
KMST2009CST|2021-12-10|  D   |   10.0  |     500.0     |      510.0       
KMST2009CST|2021-12-10|  W   |   10.0  |     510.0     |      500.0       
KMST2009CST|2021-12-10|  D   |   10.0  |     500.0     |      510.0       
KMST2009CST|2021-12-10|  W   |   10.0  |     510.0     |      500.0       
KMST2009CST|2021-12-10|  D   |   10.0  |     500.0     |      510.0       
KMST2009CST|2021-12-10|  W   |   10.0  |     510.0     |      500.0       
KMST2010CST|2021-12-10|  D   |   10.0  |     100.0     |      110.0       
KMST2010CST|2021-12-10|  W   |   10.0  |     110.0     |      100.0       
KMST2010CST|2021-12-10|  D   |   10.0  |     100.0     |      110.0       
KMST2010CST|2021-12-10|  W   |   10.0  |     110.0     |      100.0       
KMST2010CST|2021-12-10|  D   |   10.0  |     100.0     |      110.0       
KMST2010CST|2021-12-10|  W   |   10.0  |     110.0     |      100.0       
KMST2010CST|2021-12-10|  D   |   10.0  |     100.0     |      110.0       
KMST2010CST|2021-12-10|  D   |   10.0  |     110.0     |      120.0       
KMST2010CST|2021-12-10|  W   |   10.0  |     120.0     |      110.0       
KMST2010CST|2021-12-10|  D   |   10.0  |     110.0     |      120.0       
KMST2010CST|2021-12-10|  W   |   20.0  |     120.0     |      100.0       
